ID,SMILES,CID,MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
T0002,CCNCC.O=S(=O)(O)c1cc(O)ccc1O,17506,C10H17NO5S,263.31,,115,252,4,6,3
T0004,NC(=O)c1ccccc1O,5147,C7H7NO2,137.14,1.3,63.3,136,2,2,1
T0005,CC(=O)Oc1ccccc1C(=O)O,2244,C9H8O4,180.16,1.2,63.6,212,1,4,3
T0006,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.O.O.O.[Cl-],104827,C16H24ClN3O3S,373.9,,46.9,483,3,7,1
T0007,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,2249,C14H22N2O3,266.34,0.2,84.6,263,3,4,8
T0007L,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,180559,C14H22N2O3,266.34,0.2,84.6,263,3,4,8
T0008,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],657302,C15H11N2NaO2,274.25,,47.2,356,1,3,2
T0009,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,35802,C16H12FN3O3,313.28,2.9,84.1,454,2,5,4
T0010,S=c1nc[nH]c2nc[nH]c12,667490,C5H4N4S,152.18,0,85.2,190,2,2,0
T0011,OCCc1ccccc1,6054,C8H10O,122.16,1.4,20.2,65,1,1,2
T0012,C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,90454,C19H22N2O,294.4,2.7,36.4,412,1,3,3
T0013,CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,616236,C13H15NO3,233.26,2.3,51.5,294,1,3,3
T0014,CC=Cc1ccc(OC)cc1,7703,C10H12O,148.20,3.3,9.2,121,0,1,2
T0015,Cc1ccccc1OCC(O)CO,4059,C10H14O3,182.22,1.4,49.7,138,2,3,4
T0016,COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1,71645,C15H14O3,242.27,4,46.5,281,1,3,3
T0017,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,4764,C20H14O4,318.3,3.6,66.8,438,2,4,2
T0018,CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl,66068,C13H22ClN3O,271.78,,58.4,221,3,3,6
T0019,C[N+](C)(C)CC(=O)O.[Cl-],11545,C5H12ClNO2,153.61,,37.3,93,1,3,2
T0020,Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+],16211148,C7H10NNaO5,211.15,,88.4,165,4,6,1
T0022,NCCS(=O)(=O)O,1123,C2H7NO3S,125.15,-4.1,88.8,120,2,4,2
